Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,Body_plate_2:surface1
Source Element,Electronic_Box:surface1
,
Time[s],Total Heat Flow
0.0,-6.855860204999511
605.9285888671875,-7.106543896058023
1211.857177734375,-6.55457789395758
1817.7857666015625,-5.830750514569401
2423.71435546875,-5.378108138297447
3029.6429443359375,-5.178281391350312
3635.571533203125,-5.026784187460552
4241.5001220703125,-4.989440194169523
4847.4287109375,-5.287648308009859
5453.3572998046875,-6.375380281338434
6059.28564453125,-6.855859524438433
