Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,60004
Source Element,Electronic_Box:surface1
,
Time[s],Total Heat Flow
0.0,-9.8099547000134
605.9285888671875,-9.171187356748252
1211.857177734375,-8.83654105211927
1817.7857666015625,-9.325019287845794
2423.71435546875,-10.328057085296027
3029.6429443359375,-11.243009483308798
3635.571533203125,-11.777379036330164
4241.5001220703125,-11.867649961771091
4847.4287109375,-11.562880997860521
5453.3572998046875,-10.732425854430051
6059.28564453125,-9.80995679279597
