Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,IR_TEL_STR:surface1
Source Element,Panels:surface2
,
Time[s],Total Heat Flow
0.0,-4.003238510299492
605.9285888671875,-3.987784839758004
1211.857177734375,-3.5295605422447545
1817.7857666015625,-3.5335999693086992
2423.71435546875,-3.4510171348559195
3029.6429443359375,-3.411503213728234
3635.571533203125,-3.5121306366474725
4241.5001220703125,-3.8006930174753704
4847.4287109375,-3.6916898977527284
5453.3572998046875,-3.964389949512529
6059.28564453125,-4.0033110529993365
