Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,BODY_CUTTED,Element,Body_plate_1,Element,Body_plate_2,Element,CCD_CryoCool_Diss,Element,CCD_CryoCool_Sink,Element,Electronic_Box,Element,IR_TEL_CCD,Element,IR_TEL_LENS,Element,IR_TEL_OBJ,Element,IR_TEL_STR,Element,IR_TEL_STR_2,Element,MLI_CUTTED,Element,MLI_IR_TEL_CUTTED,Element,Payload_1,Element,Payload_2,Element,RAD_INS,Element,RAD_IR_TEL,Element,RAD_IR_TEL_2,Element,RAD_IR_TEL_STR,Element,Solar_Panles_xPlus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,12.11225981147645,0.0,10.890949889681131,0.0,18.969242175123814,0.0,-4.429189347835399,0.0,-203.15,0.0,20.74575971506445,0.0,-202.62253502036725,0.0,-23.4162561232814,0.0,-26.597663147939357,0.0,-25.595517097779314,0.0,-26.725328882234752,0.0,-18.893718122165232,0.0,-43.95320140378826,0.0,12.097155465749747,0.0,12.431367660798905,0.0,9.68646598632455,0.0,-15.001937746107467,0.0,-13.99959395608424,0.0,-26.677073082838646,0.0,-5.968891381163481
605.9285888671875,8.484590686651194,605.9285888671875,9.433611587709677,605.9285888671875,15.85726460682249,605.9285888671875,-5.0343780900757045,605.9285888671875,-203.15,605.9285888671875,18.464469326163687,605.9285888671875,-202.65107637061985,605.9285888671875,-23.545128635574304,605.9285888671875,-30.666767319251846,605.9285888671875,-29.728911232056348,605.9285888671875,-30.67906000095406,605.9285888671875,-22.460915566169714,605.9285888671875,-49.130867005310414,605.9285888671875,11.02898217111567,605.9285888671875,11.411386603864184,605.9285888671875,8.329526519130654,605.9285888671875,-15.46466118824705,605.9285888671875,-14.474205954790698,605.9285888671875,-30.736869659246523,605.9285888671875,-15.43789072610063
1211.857177734375,8.773766848005822,1211.857177734375,8.3605458911131,1211.857177734375,14.245748060446335,1211.857177734375,-5.5270155187963,1211.857177734375,-203.15,1211.857177734375,16.8805691353683,1211.857177734375,-202.62499530777683,1211.857177734375,-23.67967283698991,1211.857177734375,-26.853372901624915,1211.857177734375,-25.479261445076958,1211.857177734375,-26.39334073463601,1211.857177734375,19.716205256577354,1211.857177734375,21.257463853817146,1211.857177734375,9.750718507008084,1211.857177734375,10.17704683501194,1211.857177734375,7.321557940438516,1211.857177734375,-15.526403903883429,1211.857177734375,-14.660634980598132,1211.857177734375,-26.786420287009644,1211.857177734375,10.827238349037716
1817.7857666015625,11.905255237051755,1817.7857666015625,8.301341454721014,1817.7857666015625,15.837697755451863,1817.7857666015625,-5.58128364483053,1817.7857666015625,-203.15,1817.7857666015625,17.442698067464843,1817.7857666015625,-202.61034071581685,1817.7857666015625,-23.751716524638237,1817.7857666015625,-24.844727184284253,1817.7857666015625,-23.380291149078055,1817.7857666015625,-23.21208292073959,1817.7857666015625,39.32907243846673,1817.7857666015625,23.64165845501016,1817.7857666015625,9.05910129068113,1817.7857666015625,9.513045854312102,1817.7857666015625,7.350436377304667,1817.7857666015625,-15.398778889745921,1817.7857666015625,-14.557821613311358,1817.7857666015625,-24.744813502070368,1817.7857666015625,32.9016773697966
2423.71435546875,15.080169787935812,2423.71435546875,8.725498915672686,2423.71435546875,18.351266021621264,2423.71435546875,-5.351280968932388,2423.71435546875,-203.15,2423.71435546875,19.007097874182246,2423.71435546875,-202.58830895925234,2423.71435546875,-23.77142765851743,2423.71435546875,-21.90223522263193,2423.71435546875,-20.341972423453228,2423.71435546875,-19.158322736644458,2423.71435546875,50.62971625600867,2423.71435546875,10.367582961170237,2423.71435546875,9.058843921388997,2423.71435546875,9.552188029322664,2423.71435546875,8.093263410796208,2423.71435546875,-15.08050269979625,2423.71435546875,-14.260057603987452,2423.71435546875,-21.800068948511477,2423.71435546875,45.23782977578789
