Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_01 : TMD : CRYOSAT_CASE_01,Data Source,Case_01 : TMD : CRYOSAT_CASE_01,Data Source,Case_01 : TMD : CRYOSAT_CASE_01,Data Source,Case_01 : TMD : CRYOSAT_CASE_01,Data Source,Case_01 : TMD : CRYOSAT_CASE_01,Data Source,Case_01 : TMD : CRYOSAT_CASE_01
Element,CCD_CryoCool_Diss,Element,CCD_CryoCool_Sink,Element,Electronic_Box,Element,IR_TEL_CCD,Element,Payload_1,Element,Payload_2
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0,5.087888246,0,-203.15,0,35.26505963,0,-202.3922856,0,25.20042955,0,25.46173651
605.9285889,5.055655856,605.9285889,-203.15,605.9285889,35.2869709,605.9285889,-202.4419688,605.9285889,25.12785072,605.9285889,25.41422164
1211.857178,5.052724796,1211.857178,-203.15,1211.857178,35.43550266,1211.857178,-202.4675499,1211.857178,25.04011567,1211.857178,25.37080485
1817.785767,5.095707836,1817.785767,-203.15,1817.785767,35.72767092,1817.785767,-202.4804878,1817.785767,25.01596348,1817.785767,25.3797003
2423.714355,5.155945529,2423.714355,-203.15,2423.714355,35.98310958,2423.714355,-202.4919336,2423.714355,25.05251201,2423.714355,25.42541863
3029.642944,5.185745271,3029.642944,-203.15,3029.642944,36.03206607,3029.642944,-202.5075148,3029.642944,25.08913557,3029.642944,25.4557462
3635.571533,5.16223275,3635.571533,-203.15,3635.571533,35.81988054,3635.571533,-202.4978822,3635.571533,25.0743647,3635.571533,25.43786192
4241.500122,5.128318123,4241.500122,-203.15,4241.500122,35.53672432,4241.500122,-202.4443194,4241.500122,25.06355919,4241.500122,25.41503075
4847.428711,5.114738235,4847.428711,-203.15,4847.428711,35.34345603,4847.428711,-202.3836595,4847.428711,25.11372376,4847.428711,25.43369514
5453.3573,5.112444037,5453.3573,-203.15,5453.3573,35.26989188,5453.3573,-202.3586434,5453.3573,25.18915379,5453.3573,25.46955581
6059.285645,5.096279257,6059.285645,-203.15,6059.285645,35.27378154,6059.285645,-202.3922668,6059.285645,25.21023317,6059.285645,25.47160214
