Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,62000
Source Element,IR_TEL_CCD:surface1
,
Time[s],Total Heat Flow
0.0,-1.7073116193364513
605.9285888671875,-1.533785619275605
1211.857177734375,-1.6853752809312539
1817.7857666015625,-1.7670110900672853
2423.71435546875,-1.891653563793838
3029.6429443359375,-1.9933733838784917
3635.571533203125,-2.049508544122034
4241.5001220703125,-2.032114213170999
4847.4287109375,-2.238458691837195
5453.3572998046875,-1.9397150563086996
6059.28564453125,-1.707239733375161
