Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,Body_plate_2:surface1
Source Element,Electronic_Box:surface1
,
Time[s],Total Heat Flow
0.0,-7.419648980176078
605.9285888671875,-7.635608731124223
1211.857177734375,-7.076929323839844
1817.7857666015625,-6.397384382999703
2423.71435546875,-6.073860050551459
3029.6429443359375,-5.9793995121025345
3635.571533203125,-5.834999587907406
4241.5001220703125,-5.723797426056638
4847.4287109375,-5.959210457507752
5453.3572998046875,-6.984082299419711
6059.28564453125,-7.419645252241158
