Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,60004
Source Element,Electronic_Box:surface1
,
Time[s],Total Heat Flow
0.0,-8.541749118966687
605.9285888671875,-8.018737643672743
1211.857177734375,-7.756993175659263
1817.7857666015625,-8.199153382446807
2423.71435546875,-8.918882679900019
3029.6429443359375,-9.495030249592507
3635.571533203125,-9.861288709626532
4241.5001220703125,-10.032076097431805
4847.4287109375,-9.934480300820585
5453.3572998046875,-9.304364650675419
6059.28564453125,-8.54175458100506
