Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,IR_TEL_STR:surface2
Source Element,MLI:surface2
,
Time[s],Total Heat Flow
0.0,-0.03507626953690227
605.9285888671875,-0.03985546457449641
1211.857177734375,-0.2833359997339665
1817.7857666015625,-0.21658758752123042
2423.71435546875,-0.27665520655456094
3029.6429443359375,-0.30041537323153217
3635.571533203125,-0.2682019633489381
4241.5001220703125,-0.1704933417666694
4847.4287109375,-0.22427449610317637
5453.3572998046875,-0.042296556158398155
6059.28564453125,-0.035079225502816246
