Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,10015
Source Element,20000
,
Time[s],Total Heat Flow
0.0,3.7017539013464567
605.9285888671875,4.414126059090918
1211.857177734375,-3.6561517936510657
1817.7857666015625,-6.13242627403835
2423.71435546875,-7.330984123134087
3029.6429443359375,-7.814406253018778
3635.571533203125,-8.084589587663825
4241.5001220703125,-8.094711323534385
4847.4287109375,-2.488000378228483
5453.3572998046875,2.2680840751857554
6059.28564453125,3.7017188858111716
