Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,IR_TEL_STR:surface2
Source Element,Panels:surface2
,
Time[s],Total Heat Flow
0.0,-2.6189202340098303
605.9285888671875,-2.72966524177263
1211.857177734375,-2.216407978439709
1817.7857666015625,-2.103000136026612
2423.71435546875,-1.9528346087260762
3029.6429443359375,-1.9014061601963164
3635.571533203125,-1.9777215311537673
4241.5001220703125,-2.1940661473088827
4847.4287109375,-1.9551419079138284
5453.3572998046875,-2.3870892992948414
6059.28564453125,-2.618982711006786
