Type,Heat Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,63000
Source Element,Panels:surface2
,
Time[s],Total Heat Flow
0.0,-5.906022964331387
605.9285888671875,-5.15485523668945
1211.857177734375,-7.375532656869139
1817.7857666015625,-8.316091111605992
2423.71435546875,-9.172150156378677
3029.6429443359375,-9.275308319138519
3635.571533203125,-9.558593677400301
4241.5001220703125,-10.144412648733132
4847.4287109375,-11.00794809062536
5453.3572998046875,-7.507435188380309
6059.28564453125,-5.905996613501512
